category,blip2_bias_score_diff_normalised,clip enhance_bias_score_diff_normalised,clip prob_bias_score_diff_normalised,clip_bias_score_diff_normalised,clip unc_bias_score_diff_normalised,mivolo_bias_score_diff_normalised,fairface_bias_score_diff_normalised
photographer,0.0,0.0,-0.05,-0.004999999999999999,0.0,0.0,-0.010582010582010581
pilot,0.0,0.0,0.0,0.0,0.0,0.0,0.0
playing,0.0033341271731364627,-0.0031796502384737655,0.011204481792717089,-0.0016176470588235292,-0.023031434796140678,-0.005503955968352251,-0.0025799793601651183
plumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0
police,0.0,0.0,-0.05,-0.0024999999999999996,0.0,0.0,0.0
politician,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poor,0.002631578947368421,0.00013157894736842146,0.005012531328320802,0.00013157894736842146,0.003395585738539898,0.00013157894736842146,0.00013157894736842146
postman,0.0,0.0,0.0,0.0,0.0,0.0,0.0
programmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psychologist,0.0,0.0,-0.025,0.0,0.015151515151515152,0.0,0.0
reading,0.0061764705882352946,0.0,-0.0160427807486631,-0.003823529411764706,-0.014117647058823528,0.0,0.0
real_estate_agent,0.0,0.0,0.008695652173913042,0.0,0.0022257551669316354,0.0,0.0
reliable,0.004678362573099416,0.0,-0.02727272727272727,0.0,0.011764705882352941,0.0,0.0
rich,0.0,0.0,0.027999999999999997,0.0,0.012550607287449392,0.0,0.0
rude,0.015,0.004048582995951415,0.047619047619047616,0.0125,0.0015898251192368838,0.01,0.009446693657219972
school_campus,0.0,0.0,0.024999999999999998,0.0,0.020689655172413793,0.0,0.0
scientist,0.0,0.0,0.01904761904761905,-0.0024999999999999996,0.014285714285714287,0.0,0.0
selfish,0.0008333333333333332,0.003703703703703703,0.005128205128205127,-0.004166666666666668,-0.0038095238095238117,0.00023148148148148065,0.00023148148148148065
singer,0.0013888888888888896,0.0013888888888888896,0.01149425287356322,0.0013888888888888896,-0.003472222222222222,-0.00111111111111111,0.0013888888888888896
sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
software_developer,0.0,0.0,0.0,-0.004999999999999999,0.0,0.0,0.0
standing,0.0,0.0,-0.05,0.0,0.0,0.0,0.0
stubborn,0.0008333333333333332,0.0008333333333333332,-0.006944444444444443,0.0008333333333333332,0.00900900900900901,0.00044984255510571437,0.0008333333333333332
suit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tactless,0.0025000000000000022,0.0,-0.0012820512820512818,0.0,0.0009523809523809522,0.0025000000000000022,0.0025000000000000022
taxi_driver,0.0,0.0,0.0,0.0,0.0,0.0,0.0
teacher,0.0038888888888888888,0.0020992652571599968,-0.017777777777777778,0.00638888888888889,0.06763285024154589,0.0013888888888888896,0.0038888888888888888
