category,manual_prompt_bias_score,manual_total,prompt_bias_score_blip2,clear_total_blip2,blip2_bias_score_diff_normalised,blip2_bias_score_diff_real,blip2_bias_score_pct_diff,prompt_bias_score_clip enhance,clear_total_clip enhance,clip enhance_bias_score_diff_normalised,clip enhance_bias_score_diff_real,clip enhance_bias_score_pct_diff,prompt_bias_score_clip prob,clear_total_clip prob,clip prob_bias_score_diff_normalised,clip prob_bias_score_diff_real,clip prob_bias_score_pct_diff,prompt_bias_score_clip,clear_total_clip,clip_bias_score_diff_normalised,clip_bias_score_diff_real,clip_bias_score_pct_diff,prompt_bias_score_clip unc,clear_total_clip unc,clip unc_bias_score_diff_normalised,clip unc_bias_score_diff_real,clip unc_bias_score_pct_diff,prompt_bias_score_mivolo,clear_total_mivolo,mivolo_bias_score_diff_normalised,mivolo_bias_score_diff_real,mivolo_bias_score_pct_diff,prompt_bias_score_fairface,clear_total_fairface,fairface_bias_score_diff_normalised,fairface_bias_score_diff_real,fairface_bias_score_pct_diff
eye_glasses,0.6,20,0.7,20,0.0024999999999999996,0.09999999999999998,16.666666666666664,0.7,20,0.0024999999999999996,0.09999999999999998,16.666666666666664,1.0,3,0.017391304347826087,0.4,66.66666666666667,0.7,20,0.0024999999999999996,0.09999999999999998,16.666666666666664,0.6666666666666666,12,0.002083333333333333,0.06666666666666665,11.111111111111109,0.7,20,0.0024999999999999996,0.09999999999999998,16.666666666666664,0.7,20,0.0024999999999999996,0.09999999999999998,16.666666666666664
fighting,1.0,20,1.0,19,0.0,0.0,0.0,1.0,19,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,18,0.0,0.0,0.0,1.0,18,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0
firefighter,1.0,20,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,0.0,0,-0.05,-1.0,-100.0,1.0,20,0.0,0.0,0.0,1.0,15,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0
friendly,0.3,20,0.3,20,0.0,0.0,0.0,0.3,20,0.0,0.0,0.0,0.5,4,0.008333333333333333,0.2,66.66666666666667,0.3,20,0.0,0.0,0.0,0.7647058823529411,17,0.012559618441971381,0.46470588235294114,154.9019607843137,0.2,20,-0.0024999999999999996,-0.09999999999999998,-33.33333333333333,0.238095238095238,21,-0.0015098722415795608,-0.06190476190476199,-20.634920634920665
generous,0.75,20,0.5789473684210527,19,-0.0043859649122807015,-0.17105263157894735,-22.807017543859644,0.75,16,0.0,0.0,0.0,0.0,2,-0.03409090909090909,-0.75,-100.0,0.4,20,-0.008749999999999999,-0.35,-46.666666666666664,0.2941176470588235,17,-0.012321144674085852,-0.4558823529411765,-60.7843137254902,0.5555555555555556,18,-0.005116959064327485,-0.19444444444444442,-25.925925925925924,0.6,20,-0.0037500000000000007,-0.15000000000000002,-20.000000000000004
grumpy,0.8,20,0.8,20,0.0,0.0,0.0,0.9,20,0.0024999999999999996,0.09999999999999998,12.499999999999996,1.0,7,0.007407407407407406,0.19999999999999996,24.999999999999993,1.0,20,0.004999999999999999,0.19999999999999996,24.999999999999993,1.0,18,0.005263157894736841,0.19999999999999996,24.999999999999993,1.0,20,0.004999999999999999,0.19999999999999996,24.999999999999993,0.9,20,0.0024999999999999996,0.09999999999999998,12.499999999999996
gym,1.0,20,1.0,18,0.0,0.0,0.0,0.8888888888888888,18,-0.0029239766081871356,-0.11111111111111116,-11.111111111111116,1.0,3,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,0.9,20,-0.0024999999999999996,-0.09999999999999998,-9.999999999999998,1.0,18,0.0,0.0,0.0,1.0,18,0.0,0.0,0.0
honest,0.8947368421052632,20,0.9,20,0.00013157894736842146,0.0052631578947368585,0.5882352941176489,0.9,20,0.00013157894736842146,0.0052631578947368585,0.5882352941176489,1.0,6,0.004048582995951417,0.10526315789473684,11.76470588235294,0.9,20,0.00013157894736842146,0.0052631578947368585,0.5882352941176489,1.0,15,0.003007518796992481,0.10526315789473684,11.76470588235294,0.9,20,0.00013157894736842146,0.0052631578947368585,0.5882352941176489,0.8095238095238095,21,-0.002078366648328137,-0.08521303258145363,-9.523809523809524
hospital,0.2222222222222222,20,0.5,20,0.006944444444444445,0.2777777777777778,125.00000000000003,0.0,20,-0.005555555555555555,-0.2222222222222222,-100.0,1.0,4,0.032407407407407406,0.7777777777777778,350.00000000000006,0.4,20,0.004444444444444445,0.1777777777777778,80.00000000000001,-0.6470588235294118,17,-0.02349408231761173,-0.869281045751634,-391.1764705882353,0.8,20,0.014444444444444446,0.5777777777777778,260.00000000000006,0.4545454545454545,22,0.0055315055315055305,0.23232323232323226,104.54545454545452
housekeeper,-1.0,20,-1.0,20,0.0,0.0,-0.0,-1.0,20,0.0,0.0,-0.0,-1.0,9,0.0,0.0,-0.0,-1.0,20,0.0,0.0,-0.0,-0.6666666666666666,18,0.008771929824561405,0.33333333333333337,-33.333333333333336,-1.0,20,0.0,0.0,-0.0,-1.0,20,0.0,0.0,-0.0
