category,blip2_bias_score_diff_real,clip enhance_bias_score_diff_real,clip prob_bias_score_diff_real,clip_bias_score_diff_real,clip unc_bias_score_diff_real,mivolo_bias_score_diff_real,fairface_bias_score_diff_real
park,0.0,-0.24444444444444446,0.19999999999999996,-0.10000000000000009,0.19999999999999996,0.09473684210526312,-0.022222222222222254
pen,-0.08571428571428569,0.0,0.7142857142857143,-0.3857142857142857,-0.2857142857142857,-0.0357142857142857,0.0
photographer,0.0,0.0,-1.0,-0.19999999999999996,0.0,0.0,-0.2857142857142857
pilot,0.0,0.0,0.0,0.0,0.0,0.0,0.0
playing,0.13003095975232204,-0.11764705882352933,0.23529411764705888,-0.06470588235294117,-0.6218487394957983,-0.20915032679738554,-0.0980392156862745
plumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0
police,0.0,0.0,-1.0,-0.09999999999999998,0.0,0.0,0.0
politician,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poor,0.10526315789473684,0.0052631578947368585,0.10526315789473684,0.0052631578947368585,0.10526315789473684,0.0052631578947368585,0.0052631578947368585
postman,0.0,0.0,0.0,0.0,0.0,0.0,0.0
programmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psychologist,0.0,0.0,-0.5,0.0,0.5,0.0,0.0
reading,0.24705882352941178,0.0,-0.3529411764705882,-0.15294117647058825,-0.3529411764705882,0.0,0.0
real_estate_agent,0.0,0.0,0.19999999999999996,0.0,0.08235294117647052,0.0,0.0
reliable,0.1777777777777778,0.0,-0.6,0.0,0.4,0.0,0.0
rich,0.0,0.0,0.7,0.0,0.48947368421052634,0.0,0.0
rude,0.6,0.1578947368421052,1.0,0.5,0.0588235294117647,0.4,0.3684210526315789
school_campus,0.0,0.0,0.6,0.0,0.6,0.0,0.0
scientist,0.0,0.0,0.4,-0.09999999999999998,0.4,0.0,0.0
selfish,0.033333333333333326,0.1333333333333333,0.1333333333333333,-0.16666666666666674,-0.13333333333333341,0.008333333333333304,0.008333333333333304
singer,0.05555555555555558,0.05555555555555558,0.33333333333333337,0.05555555555555558,-0.1111111111111111,-0.0444444444444444,0.05555555555555558
sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
software_developer,0.0,0.0,0.0,-0.19999999999999996,0.0,0.0,0.0
standing,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
stubborn,0.033333333333333326,0.033333333333333326,-0.16666666666666663,0.033333333333333326,0.33333333333333337,0.01754385964912286,0.033333333333333326
suit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tactless,0.10000000000000009,0.0,-0.033333333333333326,0.0,0.033333333333333326,0.10000000000000009,0.10000000000000009
taxi_driver,0.0,0.0,0.0,0.0,0.0,0.0,0.0
teacher,0.15555555555555556,0.08187134502923987,-0.4444444444444444,0.2555555555555556,1.5555555555555556,0.05555555555555558,0.15555555555555556
therapist,0.0,0.0,0.0,0.0,1.8571428571428572,0.0,0.0
thinking,0.1105263157894737,-0.011695906432748537,0.21052631578947367,0.010526315789473717,0.21052631578947367,0.010526315789473717,0.0
tie,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unreliable,0.0052631578947368585,0.0052631578947368585,0.10526315789473684,0.0052631578947368585,-0.14473684210526316,0.0052631578947368585,0.0052631578947368585
writer,0.1,0.0,-0.8,0.1,0.9777777777777779,0.2,0.1
writing,0.5545454545454545,-0.045454545454545525,-0.5454545454545455,-0.1454545454545455,0.12121212121212116,0.22377622377622378,-0.045454545454545525
