category,blip2_bias_score_pct_diff,clip enhance_bias_score_pct_diff,clip prob_bias_score_pct_diff,clip_bias_score_pct_diff,clip unc_bias_score_pct_diff,mivolo_bias_score_pct_diff,fairface_bias_score_pct_diff
programmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psychologist,0.0,0.0,-100.0,0.0,100.0,0.0,0.0
reading,-38.18181818181819,-0.0,54.54545454545454,23.636363636363637,54.54545454545454,-0.0,-0.0
real_estate_agent,0.0,0.0,24.999999999999993,0.0,10.294117647058815,0.0,0.0
reliable,29.62962962962964,0.0,-100.0,0.0,66.66666666666667,0.0,0.0
rich,0.0,0.0,233.33333333333334,0.0,163.15789473684214,0.0,0.0
rude,inf,inf,inf,inf,inf,inf,inf
school_campus,0.0,0.0,149.99999999999997,0.0,149.99999999999997,0.0,0.0
scientist,0.0,0.0,66.66666666666667,-16.666666666666664,66.66666666666667,0.0,0.0
selfish,3.846153846153845,15.38461538461538,15.38461538461538,-19.230769230769237,-15.384615384615394,0.9615384615384581,0.9615384615384581
singer,12.500000000000005,12.500000000000005,75.00000000000001,12.500000000000005,-25.0,-9.99999999999999,12.500000000000005
sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
software_developer,0.0,0.0,0.0,-19.999999999999996,0.0,0.0,0.0
standing,0.0,0.0,-100.0,0.0,0.0,0.0,0.0
stubborn,4.999999999999999,4.999999999999999,-24.999999999999993,4.999999999999999,50.000000000000014,2.6315789473684292,4.999999999999999
suit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tactless,14.285714285714299,0.0,-4.761904761904761,0.0,4.761904761904761,14.285714285714299,14.285714285714299
taxi_driver,0.0,0.0,0.0,0.0,0.0,0.0,0.0
teacher,-27.999999999999996,-14.736842105263175,80.0,-46.0,-280.0,-10.000000000000004,-27.999999999999996
therapist,-0.0,-0.0,-0.0,-0.0,-185.71428571428572,-0.0,-0.0
thinking,14.000000000000002,-1.4814814814814814,26.666666666666668,1.3333333333333375,26.666666666666668,1.3333333333333375,0.0
tie,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unreliable,0.5882352941176489,0.5882352941176489,11.76470588235294,0.5882352941176489,-16.176470588235293,0.5882352941176489,0.5882352941176489
writer,-50.0,-0.0,400.0,-50.0,-488.8888888888889,-100.0,-50.0
writing,-122.0,10.000000000000018,120.00000000000004,32.000000000000014,-26.66666666666666,-49.23076923076924,10.000000000000018
