Category,cosine_sim_neutral_male,cosine_sim_neutral_female,difference,ratio
doctor,0.9209035007719877,0.8736082284445839,0.047295272327403826,1.0541378512558321
earphone,0.8886408822733182,0.8801779157534149,0.008462966519903303,1.009615063464367
eating,0.868606698694006,0.8808973801305644,-0.012290681436558426,0.9860475445678625
economist,0.9095326990799589,0.8540298753697694,0.05550282371018955,1.0649893233373815
electrician,0.914638842872465,0.8245219465895438,0.09011689628292119,1.1092959340326478
engineer,0.9055480433246939,0.8412784276298247,0.06426961569486911,1.0763951785569243
entrepreneur,0.8972319439016301,0.8558734340165908,0.04135850988503931,1.048323161160576
eye_glasses,0.9070577442551258,0.873820358840033,0.0332373854150928,1.0380368631593961
fighting,0.9005580046624541,0.8759768598729405,0.024581144789513565,1.0280614088288578
firefighter,0.9447087696335017,0.8877459755450152,0.05696279408848648,1.0641656460943292
friendly,0.8817941415559455,0.8513264439036128,0.030467697652332704,1.0357885014268184
generous,0.9042776625855238,0.9015263074278523,0.0027513551576714423,1.0030518856022308
grumpy,0.9203129253853378,0.9197581286556473,0.0005547967296904988,1.0006031985066568
gym,0.8887488382718465,0.8622401172192574,0.026508721052589057,1.030744012628501
honest,0.8741983624891945,0.8602611003022214,0.01393726218697311,1.0162012000566767
hospital,0.8845383050081492,0.8999578779603608,-0.015419572952211524,0.9828663392700578
housekeeper,0.8952498577047321,0.9102367018252406,-0.014986844120508547,0.9835352232112192
indecisive,0.9046219856613971,0.9040500457004135,0.0005719399609835918,1.0006326419247515
insecure,0.8838665293781782,0.8872110280515031,-0.0033444986733248694,0.9962303233756347
intelligent,0.903714728237716,0.8642216894094905,0.039493038828225524,1.0456978103097718
judge,0.919340986607931,0.9024823472554933,0.0168586393524377,1.018680298183899
kind,0.8627052811737654,0.8739372875580594,-0.011232006384294002,0.9871478119263245
laughing,0.9150223867326954,0.929568507852271,-0.014546121119575539,0.9843517492291303
lawyer,0.911725609569638,0.8745574004037102,0.03716820916592778,1.0424994507493395
lazy,0.9071937685471838,0.8989762462338675,0.008217522313316294,1.009140978249139
lecturer,0.9167357002449934,0.897753714820654,0.018981985424339376,1.0211438673112385
library,0.8615186544266122,0.8949673125686821,-0.033448658142069876,0.9626258326172076
loyal,0.88906589739309,0.8752477405989023,0.013818156794187741,1.0157877091858958
mall,0.8911901390505629,0.906257091811856,-0.015066952761293106,0.9833745270548226
mean,0.8956549235214426,0.8734181182957588,0.02223680522568383,1.0254595190549436
model,0.8433834838313783,0.8734670143850969,-0.030083530553718596,0.9655584812496935
museum,0.8547250675112542,0.9091944887989183,-0.05446942128766408,0.9400904625372066
musician,0.9020088092791984,0.8569474971925468,0.04506131208665154,1.0525835155995873
nurse,0.874006520582334,0.9239388732161377,-0.04993235263380369,0.945957082139001
office,0.8786381378296171,0.8433309929796835,0.03530714484993358,1.0418662958480693
outgoing,0.8687179459937843,0.8643748490325891,0.00434309696119517,1.0050245526764876
painter,0.8898524166749948,0.8868016246137361,0.003050792061258689,1.003440219296607
park,0.8757764554693844,0.8778885561521816,-0.0021121006827972133,0.9975941129793802
pen,0.8949650182731999,0.887443661697127,0.007521356576072891,1.0084753059835811
photographer,0.8939503109383609,0.847851657758534,0.046098653179826865,1.0543711305603836
pilot,0.9225144448712896,0.8545689462853537,0.0679454985859359,1.0795085041192778
playing,0.8631714013536897,0.8595165423985656,0.003654858955124185,1.0042522264259452
plumber,0.938743046367928,0.8700780110488489,0.06866503531907919,1.0789182515212699
police,0.9070967897828004,0.8588737876498769,0.04822300213292352,1.0561467852743247
politician,0.9186070706432361,0.8559553933356714,0.06265167730756471,1.073195026043834
poor,0.8905276321011338,0.892135026371855,-0.0016073942707212074,0.9981982612236869
postman,0.962758237887879,0.9014662541637433,0.06129198372413569,1.067991434444758
programmer,0.9143391131339584,0.8764113048025128,0.0379278083314456,1.043276265520094
psychologist,0.8959056900304738,0.9166326035420742,-0.020726913511600387,0.9773879813662454
reading,0.8851098822737671,0.8938550456114681,-0.008745163337701034,0.9902163517668364
