Category,cosine_sim_neutral_male,cosine_sim_neutral_female,difference,ratio
earphone,0.8974494158643458,0.8657549141898053,0.031694501674540465,1.0366090924291211
eating,0.8642697836887006,0.8464221388639329,0.01784764482476764,1.021085985355632
economist,0.8835833356425982,0.8418514948818046,0.041731840760793615,1.0495714992662128
electrician,0.9130387556359492,0.8543055310662295,0.05873322456971963,1.0687496714394635
engineer,0.8572038950864377,0.8122200020243822,0.044983893062055524,1.055383877459232
entrepreneur,0.8605738545571597,0.8290420055433875,0.03153184901377226,1.0380340788559983
eye_glasses,0.9079600907846083,0.878646035846997,0.0293140549376113,1.033362757858861
fighting,0.8801699431588872,0.8159151271475722,0.064254816011315,1.0787518381181986
firefighter,0.9385442436939017,0.8877808324441205,0.05076341124978112,1.0571801163019323
friendly,0.8546266422773229,0.8245537986142688,0.030072843663054072,1.036471657414706
generous,0.8301943687474826,0.8043382576541502,0.025856111093332412,1.0321458178164267
grumpy,0.8772635437167537,0.8737478583785047,0.003515685338249086,1.004023684069193
gym,0.8894623419770094,0.8662102884699395,0.023252053507069825,1.0268434279949987
honest,0.8364989124756592,0.811538393326243,0.024960519149416216,1.030757040399667
hospital,0.8838104671589324,0.8651473438848981,0.0186631232740343,1.0215721904551294
housekeeper,0.8699794327847914,0.9079851541339665,-0.038005721349175126,0.9581427943219789
indecisive,0.8755240751851502,0.8781725822738304,-0.002648507088680252,0.9969840699400765
insecure,0.834225308493858,0.850641390741351,-0.016416082247493025,0.9807015242543206
intelligent,0.8629393550806939,0.7909167405100579,0.07202261457063597,1.0910621951486184
judge,0.8890265022713489,0.8669650759663701,0.02206142630497887,1.0254467301123842
kind,0.8535126175222929,0.8038483213658503,0.04966429615644263,1.0617831683371013
laughing,0.8854345632893701,0.8538883235412877,0.03154623974808235,1.0369442219531146
lawyer,0.893119959558452,0.8471653899224321,0.04595456963601996,1.054245098044229
lazy,0.8608978522332165,0.863380367851331,-0.0024825156181145225,0.997124655933175
lecturer,0.8716265082247034,0.8586848979155479,0.012941610309155527,1.0150714311391422
library,0.8511035299433066,0.854734945199659,-0.003631415256352355,0.99575141360869
loyal,0.8610841749088763,0.8245079296088804,0.036576245299995924,1.0443613020402926
